Player,Team,Roster Status,Status,Cap Hit (M$)
Bill Zonnon,PIT,Minors,Pleka,0.775
Emmitt Finnie,DET,Minors,Pleka,0.821667
Yegor Surin,NSH,Minors,Pleka,0.775
Karel Vejmelka,UTA,Reserve,Pleka,4.75
Ilya Sorokin,NYI,Active,Pleka,8.25
Sam Reinhart,FLA,Active,Pleka,8.625
Mikhail Gulyayev,COL,Minors,Pleka,0.775
Charlie McAvoy,BOS,Active,Pleka,9.5
Sidney Crosby,PIT,Active,Pleka,8.7
Matty Beniers,SEA,Minors,Pleka,0.775
Victor Hedman,TBL,Active,Pleka,8.0
Shea Theodore,VGK,Active,Pleka,7.425
Drake Batherson,OTT,Reserve,Pleka,4.975
Kent Johnson,CBJ,Minors,Pleka,1.8
Dawson Mercer,NJD,Active,Pleka,4.0
Josh Morrissey,WPG,Active,Pleka,6.25
,,,TOTAL POUR Pleka,140.51
Aleksander Barkov,FLA,Inj Res,Pouding_,10.0
Mattias Ekholm,EDM,Active,Pouding_,6.25
Zach Hyman,EDM,Inj Res,Pouding_,5.5
Trevor Connelly,VGK,Minors,Pouding_,0.975
Pavel Dorofeyev,VGK,Active,Pouding_,1.835
Ilya Protas,WSH,Minors,Pouding_,0.856667
Marco Kasper,DET,Minors,Pouding_,0.886666
Brock Faber,MIN,Active,Pouding_,8.5
Justin Carbonneau,STL,Minors,Pouding_,0.975
Dustin Wolf,CGY,Reserve,Pouding_,0.85
Moritz Seider,DET,Active,Pouding_,8.55
Sam Rinzel,CHI,Reserve,Pouding_,0.941667
Jani Nyman,SEA,Minors,Pouding_,0.891666
Mathew Barzal,NYI,Active,Pouding_,9.15
Logan Cooley,UTA,Active,Pouding_,0.95
Liam Greentree,LAK,Minors,Pouding_,0.9425
Kevin Lankinen,VAN,Active,Pouding_,4.5
Troy Terry,ANA,Active,Pouding_,7.0
Cooper Simpson,BOS,Minors,Pouding_,0.775
Adam Fantilli,CBJ,Minors,Pouding_,0.95
Nikolaj Ehlers,CAR,Reserve,Pouding_,8.5
Nick Suzuki,MTL,Active,Pouding_,7.875
Jake OBrien,SEA,Minors,Pouding_,0.975
Jake Oettinger,DAL,Active,Pouding_,8.25
Jackson LaCombe,ANA,Active,Pouding_,0.925
Jesper Bratt,NJD,Active,Pouding_,7.875
Harrison Brunicke,PIT,Minors,Pouding_,0.845833
Joel Eriksson Ek,MIN,Reserve,Pouding_,0.775
,,,TOTAL POUR Pouding_,91.8
Nikita Zadorov,BOS,Reserve,SamBleau,5.0
Darcy Kuemper,LAK,Active,SamBleau,5.25
William Nylander,TOR,Active,SamBleau,11.5
Alex Ovechkin,WSH,Reserve,SamBleau,9.5
Vaclav Nestrasil,CHI,Minors,SamBleau,0.775
Zack Bolduc,MTL,Active,SamBleau,0.775
Rickard Rakell,PIT,Inj Res,SamBleau,5.0
Justin Brazeau,PIT,Inj Res,SamBleau,1.5
Emil Andrae,PHI,Minors,SamBleau,0.903333
Nazem Kadri,CGY,Reserve,SamBleau,7.0
Kevin Fiala,LAK,Active,SamBleau,7.875
David Pastrnak,BOS,Reserve,SamBleau,11.25
Aatu Raty,VAN,Minors,SamBleau,0.775
Matthew Schaefer,NYI,Active,SamBleau,0.975
Bo Horvat,NYI,Active,SamBleau,8.5
Stuart Skinner,EDM,Active,SamBleau,2.6
Colton Parayko,STL,Active,SamBleau,6.5
David Reinbacher,MTL,Minors,SamBleau,0.886666
Morgan Rielly,TOR,Active,SamBleau,7.5
John Tavares,TOR,Active,SamBleau,4.38928
MacKenzie Weegar,CGY,Active,SamBleau,6.25
Timo Meier,NJD,Active,SamBleau,8.8
,,,TOTAL POUR SamBleau,107.0
