"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-","GP","G","A","+/-","SOG","PPP","SHP","Hit","Blk"
"*04lbz*","Quinn Hughes","VAN","D","212","Doumi","Active","26","","63.5","4.88","100%","0%","13","1","9","-2","36","6","0","1","12"
"*03rf8*","Vince Dunn","SEA","D","219","Pleka","Reserve","29","","62","4.13","93%","-1%","15","2","7","-4","41","4","0","3","14"
"*03bfj*","Artemi Panarin","NYR","F","224","Pleka","Active","34","NSH Mon 7:00PM","61.5","3.84","97%","-0.4%","16","3","7","-5","48","3","0","2","2"
"*04znw*","Brandt Clarke","LAK","D","222","MagicFac","Minors","22","","61.5","3.84","79%","-0.4%","16","2","5","4","33","0","0","8","24"
"*05ymj*","Jimmy Snuggerud","STL","F","226","Fred_Lan","Minors","21","","61.5","3.84","69%","-1%","16","4","4","-4","31","4","0","13","11"
"*03yh8*","Owen Tippett","PHI","F","228","DaddyX23","Reserve","26","","61.5","4.1","61%","-3.3%","15","5","1","-4","42","1","0","24","6"
"*06snb*","Benjamin Kindel","PIT","F","230","DJCarrot","Minors","18","","61","4.07","40%","+12.4%","15","5","2","-3","31","4","0","10","13"
"*05tas*","Olen Zellweger","ANA","D","233","Olilapat","Minors","22","","60.5","4.03","52%","+2.4%","15","1","4","11","32","2","0","8","19"
"*04yu5*","Thomas Harley","DAL","D","240","Boeuf_","Active","24","","59.5","3.72","99%","-0.2%","16","1","8","-7","18","3","0","7","41"
"*05nzz*","Simon Edvinsson","DET","D","239","Olilapat","Active","22","","59.5","3.72","60%","-0.6%","16","3","3","-3","21","0","0","18","38"
"*04ad7*","Rasmus Dahlin","BUF","D","244","Doumi","Reserve","25","","59","4.21","99%","-0.1%","14","1","8","-11","38","5","0","12","17"
"*04zj5*","JJ Peterka","UTA","F","248","Bigdawn","Active","23","","58.5","3.66","86%","-1.8%","16","4","6","2","30","0","0","3","4"
